Date; Close 
09.06.2006; 360,04 
12.06.2006; 347,53 
13.06.2006; 344,01 
14.06.2006; 369,23 
15.06.2006; 381,92 
16.06.2006; 378,97 
19.06.2006; 373,37 
20.06.2006; 374,91 
21.06.2006; 381,33 
22.06.2006; 377,25 
23.06.2006; 377,94 
26.06.2006; 378,08 
27.06.2006; 369,52 
28.06.2006; 370,94 
29.06.2006; 370,94 
30.06.2006; 387,45 
03.07.2006; 389,00 
05.07.2006; 381,44 
06.07.2006; 384,13 
07.07.2006; 376,54 
10.07.2006; 369,79 
11.07.2006; 368,30 
12.07.2006; 363,26 
13.07.2006; 356,52 
14.07.2006; 356,52 
17.07.2006; 354,35 
18.07.2006; 354,75 
19.07.2006; 360,30 
20.07.2006; 356,77 
21.07.2006; 349,11 
24.07.2006; 357,74 
25.07.2006; 358,57 
26.07.2006; 359,72 
27.07.2006; 355,13 
28.07.2006; 362,61 
31.07.2006; 362,71 
01.08.2006; 357,61 
02.08.2006; 360,44 
03.08.2006; 361,82 
04.08.2006; 359,91 
07.08.2006; 357,96 
08.08.2006; 355,49 
09.08.2006; 358,17 
10.08.2006; 360,06 
11.08.2006; 357,97 
14.08.2006; 359,34 
15.08.2006; 369,47 
16.08.2006; 377,97 
17.08.2006; 380,51 
18.08.2006; 381,92 
21.08.2006; 378,90 
22.08.2006; 380,22 
23.08.2006; 376,68 
24.08.2006; 378,17 
25.08.2006; 380,42 
28.08.2006; 383,47 
29.08.2006; 388,43 
30.08.2006; 389,84 
31.08.2006; 385,03 
01.09.2006; 385,82 
05.09.2006; 389,04 
06.09.2006; 380,95 
07.09.2006; 377,08 
08.09.2006; 378,62 
11.09.2006; 380,93 
12.09.2006; 391,56 
13.09.2006; 394,54 
14.09.2006; 396,69 
15.09.2006; 397,28 
18.09.2006; 396,29 
19.09.2006; 394,29 
20.09.2006; 400,26 
21.09.2006; 400,57 
22.09.2006; 399,75 
25.09.2006; 406,14 
26.09.2006; 406,40 
27.09.2006; 404,06 
28.09.2006; 402,40 
29.09.2006; 403,37 
02.10.2006; 397,77 
03.10.2006; 398,54 
04.10.2006; 405,56 
05.10.2006; 407,91 
06.10.2006; 406,03 
09.10.2006; 405,72 
10.10.2006; 404,32 
11.10.2006; 403,26 
12.10.2006; 410,00 
13.10.2006; 412,40 
16.10.2006; 412,29 
17.10.2006; 415,23 
18.10.2006; 410,30 
19.10.2006; 411,35 
20.10.2006; 410,17 
23.10.2006; 409,52 
24.10.2006; 405,94 
25.10.2006; 407,70 
26.10.2006; 412,88 
27.10.2006; 406,48 
30.10.2006; 405,99 
31.10.2006; 404,89 
01.11.2006; 400,26 
02.11.2006; 399,99 
03.11.2006; 403,60 
06.11.2006; 408,77 
07.11.2006; 411,15 
08.11.2006; 410,59 
09.11.2006; 409,05 
10.11.2006; 407,83 
13.11.2006; 408,73 
14.11.2006; 413,22 
15.11.2006; 413,45 
16.11.2006; 413,45 
17.11.2006; 415,65 
20.11.2006; 414,74 
21.11.2006; 414,71 
22.11.2006; 416,64 
24.11.2006; 415,67 
27.11.2006; 406,29 
28.11.2006; 407,30 
29.11.2006; 409,90 
30.11.2006; 412,70 
01.12.2006; 412,89 
04.12.2006; 417,72 
05.12.2006; 417,72 
06.12.2006; 421,41 
07.12.2006; 419,51 
08.12.2006; 420,12 
11.12.2006; 421,06 
12.12.2006; 420,03 
13.12.2006; 418,43 
14.12.2006; 426,19 
15.12.2006; 427,35 
18.12.2006; 424,31 
19.12.2006; 422,43 
20.12.2006; 421,97 
21.12.2006; 422,51 
22.12.2006; 419,17 
26.12.2006; 421,59 
27.12.2006; 426,07 
28.12.2006; 427,01 
29.12.2006; 425,74 
03.01.2007; 429,09 
04.01.2007; 434,13 
05.01.2007; 430,25 
08.01.2007; 429,63 
09.01.2007; 426,54 
10.01.2007; 428,67 
11.01.2007; 435,49 
12.01.2007; 437,56 
16.01.2007; 436,33 
17.01.2007; 429,93 
18.01.2007; 424,09 
19.01.2007; 428,84 
22.01.2007; 424,39 
23.01.2007; 424,53 
24.01.2007; 432,11 
25.01.2007; 428,28 
26.01.2007; 430,59 
29.01.2007; 429,98 
30.01.2007; 434,43 
31.01.2007; 434,93 
01.02.2007; 434,81 
02.02.2007; 435,63 
05.02.2007; 435,51 
06.02.2007; 436,74 
07.02.2007; 443,06 
08.02.2007; 444,50 
09.02.2007; 437,99 
12.02.2007; 433,75 
13.02.2007; 436,23 
14.02.2007; 441,47 
15.02.2007; 443,70 
16.02.2007; 444,25 
20.02.2007; 447,16 
21.02.2007; 446,40 
22.02.2007; 446,61 
23.02.2007; 447,47 
26.02.2007; 447,23 
27.02.2007; 427,13 
28.02.2007; 433,07 
01.03.2007; 428,12 
02.03.2007; 420,65 
05.03.2007; 413,65 
06.03.2007; 422,77 
07.03.2007; 421,54 
08.03.2007; 425,17 
09.03.2007; 426,95 
12.03.2007; 428,63 
13.03.2007; 421,34 
14.03.2007; 424,14 
15.03.2007; 425,53 
16.03.2007; 423,99 
19.03.2007; 427,39 
20.03.2007; 430,85 
21.03.2007; 437,47 
22.03.2007; 436,41 
23.03.2007; 436,65 
26.03.2007; 437,31 
27.03.2007; 434,64 
28.03.2007; 432,74 
29.03.2007; 432,19 
30.03.2007; 433,06 
02.04.2007; 434,93 
03.04.2007; 439,66 
04.04.2007; 439,18 
05.04.2007; 440,43 
09.04.2007; 440,03 
10.04.2007; 440,97 
11.04.2007; 437,45 
12.04.2007; 440,49 
13.04.2007; 442,21 
16.04.2007; 445,83 
17.04.2007; 443,77 
18.04.2007; 443,73 
19.04.2007; 441,98 
20.04.2007; 445,70 
23.04.2007; 443,68 
24.04.2007; 445,53 
25.04.2007; 452,94 
26.04.2007; 456,68 
27.04.2007; 456,19 
30.04.2007; 448,05 
01.05.2007; 449,58 
02.05.2007; 456,34 
03.05.2007; 456,34 
04.05.2007; 456,23 
07.05.2007; 455,59 
08.05.2007; 455,59 
09.05.2007; 461,13 
10.05.2007; 453,99 
11.05.2007; 460,84 
14.05.2007; 457,58 
15.05.2007; 453,84 
16.05.2007; 458,10 
17.05.2007; 455,54 
18.05.2007; 457,64 
21.05.2007; 464,31 
22.05.2007; 464,73 
23.05.2007; 465,05 
24.05.2007; 457,22 
25.05.2007; 460,63 
29.05.2007; 466,28 
30.05.2007; 471,11 
31.05.2007; 477,75 
01.06.2007; 478,77 
04.06.2007; 481,37 
05.06.2007; 479,50 
06.06.2007; 474,97 
07.06.2007; 466,90 
08.06.2007; 473,62 
11.06.2007; 473,92 
12.06.2007; 470,59 
13.06.2007; 475,84 
14.06.2007; 478,91 
15.06.2007; 484,21 
18.06.2007; 482,43 
19.06.2007; 483,85 
20.06.2007; 478,64 
21.06.2007; 482,54 
22.06.2007; 479,03 
25.06.2007; 474,78 
26.06.2007; 473,52 
27.06.2007; 478,77 
28.06.2007; 482,82 
29.06.2007; 482,82 
02.07.2007; 487,91 
03.07.2007; 492,67 
05.07.2007; 492,29 
06.07.2007; 494,29 
09.07.2007; 495,19 
10.07.2007; 488,51 
11.07.2007; 493,38 
12.07.2007; 506,63 
13.07.2007; 506,21 
16.07.2007; 506,07 
17.07.2007; 506,38 
18.07.2007; 506,38 
19.07.2007; 502,64 
20.07.2007; 506,42 
23.07.2007; 508,62 
24.07.2007; 499,92 
25.07.2007; 496,46 
26.07.2007; 484,98 
27.07.2007; 479,47 
30.07.2007; 487,34 
31.07.2007; 487,34 
01.08.2007; 482,02 
02.08.2007; 488,21 
03.08.2007; 472,64 
06.08.2007; 470,85 
07.08.2007; 466,25 
08.08.2007; 477,70 
09.08.2007; 471,96 
10.08.2007; 474,47 
13.08.2007; 478,19 
14.08.2007; 466,52 
15.08.2007; 453,92 
16.08.2007; 453,53 
17.08.2007; 467,27 
20.08.2007; 467,64 
21.08.2007; 469,21 
22.08.2007; 476,87 
23.08.2007; 474,31 
24.08.2007; 481,84 
27.08.2007; 480,44 
28.08.2007; 466,58 
29.08.2007; 478,13 
30.08.2007; 478,66 
31.08.2007; 484,91 
04.09.2007; 493,06 
05.09.2007; 487,08 
06.09.2007; 489,11 
07.09.2007; 479,88 
11.09.2007; 484,47 
12.09.2007; 480,92 
13.09.2007; 480,20 
14.09.2007; 480,19 
17.09.2007; 478,05 
18.09.2007; 489,49 
19.09.2007; 491,15 
20.09.2007; 489,19 
21.09.2007; 491,05 
24.09.2007; 485,40 
25.09.2007; 488,05 
26.09.2007; 490,18 
27.09.2007; 494,14 
28.09.2007; 492,28 
01.10.2007; 500,34 
02.10.2007; 502,70 
03.10.2007; 499,50 
04.10.2007; 502,42 
05.10.2007; 508,46 
08.10.2007; 503,63 
09.10.2007; 505,20 
10.10.2007; 503,72 
11.10.2007; 498,91 
12.10.2007; 501,66 
15.10.2007; 496,33 
16.10.2007; 492,96 
18.10.2007; 499,59 
19.10.2007; 491,70 
22.10.2007; 497,25 
23.10.2007; 499,58 
24.10.2007; 491,28 
25.10.2007; 485,20 
26.10.2007; 491,21 
29.10.2007; 496,14 
30.10.2007; 490,64 
31.10.2007; 492,40 
01.11.2007; 478,49 
02.11.2007; 484,53 
05.11.2007; 481,43 
06.11.2007; 485,81 
07.11.2007; 469,25 
08.11.2007; 462,66 
09.11.2007; 448,90 
12.11.2007; 441,26 
13.11.2007; 458,07 
14.11.2007; 454,95 
15.11.2007; 449,87 
16.11.2007; 456,19 
19.11.2007; 443,30 
20.11.2007; 438,97 
21.11.2007; 431,78 
23.11.2007; 438,37 
27.11.2007; 432,89 
28.11.2007; 447,99 
29.11.2007; 446,61 
30.11.2007; 447,89 
03.12.2007; 444,57 
04.12.2007; 437,91 
05.12.2007; 450,65 
06.12.2007; 456,20 
07.12.2007; 456,63 
10.12.2007; 460,23 
11.12.2007; 450,22 
12.12.2007; 452,23 
13.12.2007; 444,76 
14.12.2007; 438,90 
17.12.2007; 427,69 
19.12.2007; 435,65 
20.12.2007; 440,79 
21.12.2007; 450,54 
24.12.2007; 451,78 
26.12.2007; 453,89 
27.12.2007; 445,35 
28.12.2007; 446,59 
31.12.2007; 442,68 
02.01.2008; 434,47 
03.01.2008; 431,32 
04.01.2008; 415,71 
07.01.2008; 413,51 
08.01.2008; 399,77 
09.01.2008; 400,74 
10.01.2008; 407,37 
11.01.2008; 398,28 
14.01.2008; 405,77 
15.01.2008; 396,48 
16.01.2008; 392,10 
17.01.2008; 383,43 
18.01.2008; 371,35 
22.01.2008; 364,33 
23.01.2008; 362,04 
24.01.2008; 373,34 
25.01.2008; 370,23 
28.01.2008; 379,11 
29.01.2008; 388,12 
30.01.2008; 383,20 
31.01.2008; 392,39 
01.02.2008; 399,39 
04.02.2008; 395,26 
05.02.2008; 377,93 
06.02.2008; 377,46 
07.02.2008; 373,67 
08.02.2008; 375,35 
11.02.2008; 379,30 
